IE0,-7.548505556,52.7139347
GB5,-5.994804088,54.61005098
GB2,-3.602103826,55.95491047
GB4,-3.011697268,51.62769925
GB1,-2.203772504,53.10746017
GB3,-0.556848947,54.06657802
GB0,0.157853729,51.45375882
ES0,-5.456750693,42.74480731
ES2,-5.648658099,37.94592487
ES1,-0.051358749,40.86146554
ES4,2.699314075,39.64096061
FR6,0.044594954,43.74659771
FR3,5.235038954,43.90151536
FR4,-1.532641058,47.44198415
FR1,3.013985668,45.31520658
FR5,5.940549998,45.69976374
FR2,2.59590505,49.53703166
FR0,6.367222,48.3358
BE0,4.634048065,50.69310818
NL0,5.470209302,52.25535759
DE5,9.494235402,53.29852708
DE6,13.33535108,52.9063276
DE2,7.116401883,51.31789985
DE0,8.840984435,49.92549348
DE1,11.87206892,50.77579871
DE4,8.579684048,48.71629538
DE3,12.34240962,48.69905214
CH0,8.266123584,46.99831076
IT2,9.102284822,45.18643704
IT0,11.7936788,45.38865815
IT1,13.36148112,42.29901593
IT3,16.20965534,38.94846348
IT4,8.762594319,40.07731546
DK0,9.781665864,55.94485854
DK1,12.08110927,55.38481867
NO0,9.494235439,61.38113813
CZ0,15.34736411,49.89183773
SE1,15.97448512,60.49267712
SE0,20.88693242,67.19518424
FI0,27.21040181,61.76672708
EE0,26.00842003,59.12632146
LV0,24.3360976,56.96990472
LT0,24.28383752,55.3996594
LU,6.13051,49.67734
PL0,19.52817045,52.17530895
PT,-8.28212,40.31346
SK0,20.46885179,48.90558122
HU0,18.45683882,47.30041266
AT0,13.36148128,47.51262753
SI0,14.53733299,45.88196295
